project_id,sprite_name
500009231,Parrot
500009232,Sprite1
500009235,Wizard
500009261,Bear
270011418,Ball
270011419,Avery Walking
500009265,Sprite1
500009286,Sprite1
270011451,Chick
500009296,Fish
500009336,Chick
500009364,Sprite1
500009366,Abby
270011538,Sprite1
500009393,Sprite1
500009403,Sprite1
500009424,Sprite1
500009462,Sprite1
500009471,Sprite1
500009484,Ball
500009492,Sprite1
500009513,Sprite1
500009515,Block-M
270011685,Sprite1
500009560,Ladybug1
500009584,Glow-S
500009594,Rooster
500009601,Dinosaur2
500009617,Apple
500009630,Sprite1
500009633,Sprite1
500009645,Butterfly 1
500009660,Monkey
500009670,Sprite1
270011806,Pico
500009676,Bananas
270011810,Ball
500009679,Sprite1
270011814,Sprite1
500009681,Rocketship
500009683,Chick
500009691,Dorian
500009692,Cat Flying
500009710,Sprite1
500009715,Avery
500009717,Sprite1
500009721,Ball
500009752,Centaur
500009760,Apple
500009781,Fish
500009799,Andie
500009807,Cat
500009813,Sprite1
500009817,Sprite1
270011987,Sprite1
500009854,Beachball
500009855,Sprite1
270011998,Arrow1
500009867,Sprite1
500009882,Monkey
500009886,Avery Walking
270012031,Ball
500009897,Bananas
270012042,Sprite1
500009901,Avery Walking
500009903,Avery Walking
500009910,Sprite1
500009911,Sprite1
270012059,Sprite1
500009923,Characters 1
500009965,Unicorn Running
500010027,Ball
500010035,Cat Flying
500010037,Cat
500010064,Bear-walking
500010065,Giga Walking
500010068,Starfish
500010074,Cat Flying
270012231,Sprite1
500010096,Crab
500010117,Champ99
270012259,Sprite1
500010129,Ball
500010136,Balloon1
270012279,Sprite1
500010146,Bear
500010155,Sprite1
270012307,Sprite1
500010169,Sprite1
500010178,Devin
500010185,Button2
500010188,Sprite1
270012332,Avery
500010202,Princess
500010208,Abby
500010215,Sprite1
500010235,Dinosaur5
500010243,Sprite1
500010254,Sprite1
500010267,Ladybug1
500010268,Ghost
500010288,Sprite1
500010295,Sprite1
500010302,Dot
500010306,Sprite1
500010330,Gobo
500010345,Crab
270012474,Sprite1
500010361,Sprite1
270012493,Ball
500010392,Cat Flying
270012519,Ball
500010425,Sprite1
500010432,Abby
500010443,Goblin
500010459,Sprite1
500010472,Dragon
270012607,Glow-H
500010483,Sprite1
270012627,Penguin
500010496,Sprite1
500010498,Sprite1
500010519,Avery
500010523,Sprite1
500010551,Diver2
500010560,Avery
500010563,Truck
